,Date,Volume,Open,High,Low,Close,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_200,MACD_Line,MACD_Signal,MACD_Hist,RSI_7,RSI_14,RSI_21,ROC_12,ATR_14,BB_Middle_20,BB_Upper_20,BB_Lower_20,StochK_14,StochD_14,KDJ_K_14,KDJ_D_14,KDJ_J_14,OBV,CMF_20,NADAQ CLOSE
0,2025-09-05,224441400.0,168.03,169.03,164.07,167.02,,,,167.02,167.02,167.02,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,21700.39
1,2025-09-04,141670100.0,170.57,171.86,169.41,171.66,,,,167.46190476190478,167.20196078431374,167.06616915422887,0.3701424501424526,0.07402849002849053,0.29611396011396207,,,,,,,,,,,,,,141670100.0,,21707.69
2,2025-09-03,164424900.0,171.06,172.41,168.875,170.62,,,,167.76267573696146,167.33600153787006,167.10153065518182,0.5729589857225221,0.17381458916729686,0.39914439655522527,,,,,,,,,,,,,,-22754800.0,,21497.73
3,2025-09-02,231164900.0,170.0,172.379,167.22,170.78,,,,168.05003995248893,167.47106030109086,167.1381323402049,0.7380949154707537,0.2866706544279882,0.45142426104276545,,,,,,,,,,,,,,208410100.0,,21279.63
4,2025-08-29,243257900.0,178.11,178.15,173.145,174.18,,,,168.6338456712995,167.73415597555788,167.20820067512824,1.1302886505672802,0.4553942536558467,0.6748943969114336,,,,,,,,,,,,,,451668000.0,,21455.55
5,2025-08-28,281787800.0,180.82,184.47,176.41,180.17,,,,169.73252703593764,168.22183613337916,167.3371738027389,1.9025169199384209,0.7448187869123616,1.1576981330260594,,,,,,,,,,,,,,733455800.0,,21705.16
6,2025-08-27,235518900.0,181.98,182.49,179.1,181.6,,,,170.86276255632453,168.74647001050155,167.47909247136838,2.5999320378794835,1.115841437105786,1.4840906007736974,95.27116610556881,,,,,,,,,,,,,968974700.0,,21590.14
7,2025-08-26,168688200.0,180.055,182.39,178.81,181.77,,,,171.9015470747698,169.2571966767564,167.62129055623038,3.130272292244939,1.5187276081336167,1.6115446841113223,95.34887339230619,,,,,,,,,,,,,1137662900.0,,21544.27
8,2025-08-25,163012800.0,178.35,181.91,176.57,179.81,,,,172.65473306764886,169.6710321011973,167.74257124721316,3.353755143474359,1.8857331152017653,1.4680220282725938,78.08854801639588,,,,,,,,,,,,,974650100.0,,21449.29
9,2025-08-22,172789400.0,172.61,178.59,171.2,177.99,,,,173.16285372787277,169.9972661364445,167.84453571241502,3.345443928415051,2.1776752778444224,1.1677686505706286,65.28552762873471,,,,,,,,,,,,,801860700.0,,21496.53
10,2025-08-21,140040900.0,174.85,176.9,173.81,174.98,,,,173.33591527759918,170.19266746442707,167.91553535706763,3.060693615437941,2.3542789453631263,0.7064146700748148,49.59589654152415,,,,,,,,,,,,,661819800.0,,21100.31
